ID,State,Constituency,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Result
3851,Maharashtra,Gadchiroli - Chimur,DR. KIRSAN  NAMDEO,Indian National Congress,614610,3182,617792,52.97,Won
3862,Maharashtra,Hatkanangale,DHAIRYASHEEL SAMBHAJIRAO MANE,Shiv Sena,518334,1856,520190,40.14,Won
3890,Maharashtra,Hingoli,AASHTIKAR PATIL NAGESH BAPURAO,Shiv Sena (Uddhav Balasaheb Thackrey),490432,2103,492535,42.49,Won
3924,Maharashtra,Jalgaon,SMITA UDAY WAGH,Bharatiya Janata Party,672119,2309,674428,57.67,Won
3939,Maharashtra,Jalna,KALYAN VAIJINATHRAO KALE,Indian National Congress,605504,2393,607897,44.59,Won
3966,Maharashtra,Kalyan,DR SHRIKANT EKNATH SHINDE,Shiv Sena,587921,1715,589636,56.38,Won
3995,Maharashtra,Kolhapur,CHHATRAPATI SHAHU SHAHAJI,Indian National Congress,750323,4199,754522,54.15,Won
4019,Maharashtra,Latur,DR. KALGE SHIVAJI BANDAPPA,Indian National Congress,607030,1991,609021,49.15,Won
4048,Maharashtra,Madha,MOHITE-PATIL DHAIRYASHEEL RAJSINH,Nationalist Congress Party – Sharadchandra Pawar,618566,3647,622213,48.86,Won
4081,Maharashtra,Maval,SHRIRANG APPA CHANDU BARNE,Shiv Sena,692101,731,692832,48.81,Won
4115,Maharashtra,Mumbai North,PIYUSH GOYAL,Bharatiya Janata Party,678451,1695,680146,65.68,Won
4135,Maharashtra,Mumbai North Central,GAIKWAD VARSHA EKNATH,Indian National Congress,444098,1447,445545,48.93,Won
4163,Maharashtra,Mumbai North East,SANJAY DINA PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),448604,2333,450937,48.67,Won
4185,Maharashtra,Mumbai North West,RAVINDRA DATTARAM WAIKAR,Shiv Sena,451094,1550,452644,47.4,Won
4206,Maharashtra,Mumbai South,ARVIND GANPAT SAWANT,Shiv Sena (Uddhav Balasaheb Thackrey),393735,1920,395655,51.18,Won
4221,Maharashtra,Mumbai South Central,ANIL YESHWANT DESAI,Shiv Sena (Uddhav Balasaheb Thackrey),393342,1796,395138,49.73,Won
4237,Maharashtra,Nagpur,NITIN JAIRAM GADKARI,Bharatiya Janata Party,652809,2218,655027,54.08,Won
4264,Maharashtra,Nanded,CHAVAN VASANTRAO BALWANTRAO,Indian National Congress,526865,2029,528894,46.88,Won
4288,Maharashtra,Nandurbar,ADV GOWAAL KAGADA PADAVI,Indian National Congress,744879,1119,745998,53.53,Won
4300,Maharashtra,Nashik,RAJABHAU (PARAG) PRAKASH WAJE,Shiv Sena (Uddhav Balasaheb Thackrey),614517,2212,616729,49.85,Won
4332,Maharashtra,Osmanabad,OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,Shiv Sena (Uddhav Balasaheb Thackrey),743597,5155,748752,58.45,Won
4364,Maharashtra,Palghar,DR. HEMANT VISHNU SAVARA,Bharatiya Janata Party,600208,1036,601244,43.69,Won
4375,Maharashtra,Parbhani,JADHAV SANJAY ( BANDU ) HARIBHAU,Shiv Sena (Uddhav Balasaheb Thackrey),596871,4472,601343,45.17,Won
4410,Maharashtra,Pune,MURLIDHAR MOHOL,Bharatiya Janata Party,584171,557,584728,52.94,Won
4446,Maharashtra,Raigad,TATKARE SUNIL DATTATREY,Nationalist Congress Party,506529,1823,508352,50.17,Won
4460,Maharashtra,Ramtek,Shyamkumar (Babalu) Daulat Barve,Indian National Congress,611894,1131,613025,48.94,Won
4489,Maharashtra,Ratnagiri- Sindhudurg,NARAYAN TATU RANE,Bharatiya Janata Party,445339,3175,448514,49.07,Won
4499,Maharashtra,Raver,KHADSE RAKSHA NIKHIL,Bharatiya Janata Party,629558,1321,630879,53.84,Won
4524,Maharashtra,Sangli,VISHAL (DADA) PRAKASHBAPU PATIL,Independent,569651,2015,571666,48.91,Won
4545,Maharashtra,Satara,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,Bharatiya Janata Party,568749,2385,571134,47.67,Won
4562,Maharashtra,Shirdi,BHAUSAHEB RAJARAM WAKCHAURE,Shiv Sena (Uddhav Balasaheb Thackrey),475637,1263,476900,45,Won
4583,Maharashtra,Shirur,DR. AMOL RAMSING KOLHE,Nationalist Congress Party – Sharadchandra Pawar,697768,924,698692,50.83,Won
4616,Maharashtra,Solapur,PRANITI SUSHILKUMAR SHINDE,Indian National Congress,618350,1875,620225,51.49,Won
4638,Maharashtra,Thane,NARESH GANPAT MHASKE,Shiv Sena,732109,2122,734231,56.09,Won
4663,Maharashtra,Wardha,AMAR SHARADRAO KALE,Nationalist Congress Party – Sharadchandra Pawar,530761,2345,533106,48.68,Won
4688,Maharashtra,Yavatmal- Washim,SANJAY UTTAMRAO DESHMUKH,Shiv Sena (Uddhav Balasaheb Thackrey),591899,2908,594807,48.53,Won
4706,Manipur,Inner Manipur,ANGOMCHA BIMOL AKOIJAM,Indian National Congress,370678,3339,374017,46.93,Won
4713,Manipur,Outer Manipur,ALFRED KANNGAM S ARTHUR,Indian National Congress,381813,3141,384954,48.32,Won
4718,Meghalaya,Shillong,DR. RICKY ANDREW J. SYNGKON,Voice of the People Party,569156,1922,571078,55.02,Won
4725,Meghalaya,Tura,SALENG A SANGMA,Indian National Congress,382058,1861,383919,56.96,Won
4730,Mizoram,MIZORAM,RICHARD VANLALHMANGAIHA,Zoram People’s Movement,206377,2175,208552,42.45,Won
4737,Nagaland,Nagaland,S SUPONGMEREN JAMIR,Indian National Congress,399512,2439,401951,52.83,Won
4741,NCT OF Delhi,Chandni Chowk,PRAVEEN KHANDELWAL,Bharatiya Janata Party,514958,1538,516496,53.46,Won
4767,NCT OF Delhi,East Delhi,HARSH MALHOTRA,Bharatiya Janata Party,663420,1399,664819,52.59,Won
4788,NCT OF Delhi,New Delhi,BANSURI SWARAJ,Bharatiya Janata Party,451464,1721,453185,53.48,Won
4806,NCT OF Delhi,North-East Delhi,MANOJ TIWARI,Bharatiya Janata Party,821567,2884,824451,53.1,Won
4835,NCT OF Delhi,North-West Delhi,YOGENDER CHANDOLIYA,Bharatiya Janata Party,863255,3228,866483,58.26,Won
4862,NCT OF Delhi,South Delhi,RAMVIR SINGH BIDHURI,Bharatiya Janata Party,691184,1648,692832,53.46,Won
4885,NCT OF Delhi,West Delhi,KAMALJEET SEHRAWAT,Bharatiya Janata Party,838332,4326,842658,55.27,Won
4910,Odisha,Aska,ANITA SUBHADARSHINI,Bharatiya Janata Party,493032,1194,494226,48.55,Won
4918,Odisha,Balasore,PRATAP CHANDRA SARANGI,Bharatiya Janata Party,561590,2275,563865,45.49,Won
4930,Odisha,Bargarh,PRADEEP PUROHIT,Bharatiya Janata Party,709606,6753,716359,54.69,Won
4938,Odisha,Berhampur,DR. PRADEEP KUMAR PANIGRAHY,Bharatiya Janata Party,510585,2517,513102,49.2,Won
4950,Odisha,Bhadrak,AVIMANYU SETHI,Bharatiya Janata Party,569705,3614,573319,44.19,Won
4959,Odisha,Bhubaneswar,APARAJITA SARANGI,Bharatiya Janata Party,509567,2952,512519,47.36,Won
4972,Odisha,Bolangir,SANGEETA KUMARI SINGH DEO,Bharatiya Janata Party,614196,3548,617744,44.12,Won
4983,Odisha,Cuttack,BHARTRUHARI MAHTAB,Bharatiya Janata Party,529271,2330,531601,47.43,Won
4994,Odisha,Dhenkanal,RUDRA NARAYAN PANY,Bharatiya Janata Party,593907,4814,598721,50.24,Won
5005,Odisha,Jagatsinghpur,BIBHU PRASAD TARAI,Bharatiya Janata Party,585672,3421,589093,45.8,Won
5018,Odisha,Jajpur,RABINDRA NARAYAN BEHERA,Bharatiya Janata Party,528959,5280,534239,46.01,Won
5031,Odisha,Kalahandi,MALVIKA DEVI,Bharatiya Janata Party,538535,5768,544303,40.79,Won
5043,Odisha,Kandhamal,SUKANTA KUMAR PANIGRAHI,Bharatiya Janata Party,413320,3095,416415,41.8,Won
5052,Odisha,Kendrapara,BAIJAYANT PANDA,Bharatiya Janata Party,612916,2789,615705,48.21,Won
5063,Odisha,Keonjhar,ANANTA NAYAK,Bharatiya Janata Party,571133,2790,573923,45.67,Won
5075,Odisha,Koraput,SAPTAGIRI SANKAR ULAKA,Indian National Congress,469295,2098,471393,41.03,Won
5087,Odisha,Mayurbhanj,NABA CHARAN MAJHI,Bharatiya Janata Party,580579,5392,585971,49.91,Won
5101,Odisha,Nabarangpur,BALABHADRA MAJHI,Bharatiya Janata Party,478330,3066,481396,38.74,Won
5106,Odisha,Puri,SAMBIT PATRA,Bharatiya Janata Party,625372,3958,629330,52.58,Won
5114,Odisha,Sambalpur,DHARMENDRA PRADHAN,Bharatiya Janata Party,587827,4335,592162,49.48,Won
5129,Odisha,Sundargarh,JUAL ORAM,Bharatiya Janata Party,490655,3627,494282,42.77,Won
5138,Puducherry,PUDUCHERRY,VE VAITHILINGAM,Indian National Congress,424292,1713,426005,52.73,Won
5165,Punjab,Amritsar,GURJEET SINGH AUJLA,Indian National Congress,254414,767,255181,28.18,Won
5196,Punjab,Anandpur Sahib,MALVINDER SINGH KANG,Aam Aadmi Party,312241,976,313217,29.08,Won
5225,Punjab,Bathinda,HARSIMRAT KAUR BADAL,Shiromani Akali Dal,375019,1539,376558,32.71,Won
5244,Punjab,Faridkot,SARABJEET SINGH KHALSA,Independent,296922,1140,298062,29.38,Won
5273,Punjab,Fatehgarh Sahib,AMAR SINGH,Indian National Congress,331324,1267,332591,34.14,Won
5288,Punjab,Firozpur,SHER SINGH GHUBAYA,Indian National Congress,264712,1914,266626,23.7,Won
5318,Punjab,Gurdaspur,SUKHJINDER SINGH RANDHAWA,Indian National Congress,361713,2330,364043,33.78,Won
5345,Punjab,Hoshiarpur,DR. RAJ KUMAR CHABBEWAL,Aam Aadmi Party,302402,1457,303859,32.04,Won
5362,Punjab,Jalandhar,CHARANJIT SINGH CHANNI,Indian National Congress,389509,544,390053,39.43,Won
5383,Punjab,Khadoor Sahib,AMRITPAL SINGH,Independent,402600,1830,404430,38.62,Won
5411,Punjab,Ludhiana,AMRINDER SINGH RAJA WARRING,Indian National Congress,321424,800,322224,30.42,Won
5455,Punjab,Patiala,DR DHARAMVIRA GANDHI,Indian National Congress,304672,944,305616,26.54,Won
5482,Punjab,Sangrur,GURMEET SINGH MEET HAYER,Aam Aadmi Party,362791,1294,364085,36.06,Won
5506,Rajasthan,AJMER,BHAGIRATH CHOUDHARY,Bharatiya Janata Party,741151,6311,747462,62.23,Won
5521,Rajasthan,ALWAR,BHUPENDER YADAV,Bharatiya Janata Party,624110,7882,631992,50.42,Won
5531,Rajasthan,BANSWARA,RAJ KUMAR ROAT,Bharat Adivasi Party,815430,5401,820831,50.15,Won
5540,Rajasthan,BARMER,UMMEDA RAM BENIWAL,Indian National Congress,699122,5554,704676,41.74,Won
5552,Rajasthan,BHARATPUR,SANJNA JATAV,Indian National Congress,572808,7082,579890,51.18,Won
5559,Rajasthan,BHILWARA,DAMODAR AGARWAL,Bharatiya Janata Party,803193,4447,807640,61.92,Won
5570,Rajasthan,BIKANER,ARJUN RAM MEGHWAL,Bharatiya Janata Party,561240,5497,566737,50.68,Won
5580,Rajasthan,CHITTORGARH,CHANDRA PRAKASH JOSHI,Bharatiya Janata Party,882334,5868,888202,59.26,Won
5599,Rajasthan,CHURU,RAHUL KASWAN,Indian National Congress,719352,8859,728211,51.12,Won
5613,Rajasthan,DAUSA,MURARI LAL MEENA,Indian National Congress,636868,9398,646266,60.24,Won
5619,Rajasthan,GANGANAGAR,KULDEEP INDORA,Indian National Congress,719896,6596,726492,51.4,Won
5629,Rajasthan,JAIPUR,MANJU SHARMA,Bharatiya Janata Party,878643,8207,886850,60.61,Won
5643,Rajasthan,JAIPUR RURAL,RAO RAJENDRA SINGH,Bharatiya Janata Party,608189,9688,617877,48.96,Won
5659,Rajasthan,JALORE,LUMBARAM,Bharatiya Janata Party,793705,3078,796783,54.91,Won
5672,Rajasthan,JHALAWAR-BARAN,DUSHYANT SINGH,Bharatiya Janata Party,861850,3526,865376,60.88,Won
5680,Rajasthan,JHUNJHUNU,BRIJENDRA SINGH OLA,Indian National Congress,541203,11965,553168,49.44,Won
5689,Rajasthan,JODHPUR,GAJENDRA SINGH SHEKHAWAT,Bharatiya Janata Party,722978,7078,730056,52.76,Won
5705,Rajasthan,KARAULI-DHOLPUR,BHAJAN LAL JATAV,Indian National Congress,525379,4632,530011,53.64,Won
5710,Rajasthan,KOTA,OM BIRLA,Bharatiya Janata Party,744396,6100,750496,50.03,Won
5726,Rajasthan,NAGAUR,HANUMAN BENIWAL,Rashtriya Loktantrik Party,591460,5495,596955,48.2,Won
5736,Rajasthan,PALI,P. P. CHAUDHARY,Bharatiya Janata Party,750568,6821,757389,55.94,Won
5750,Rajasthan,RAJSAMAND,MAHIMA KUMARI MEWAR,Bharatiya Janata Party,775243,5960,781203,64.4,Won
5761,Rajasthan,SIKAR,AMRARAM,Communist Party of India  (Marxist),645559,13741,659300,50.68,Won
5776,Rajasthan,TONK-SAWAI MADHOPUR,HARISH CHANDRA MEENA,Indian National Congress,617137,6626,623763,50.85,Won
5788,Rajasthan,UDAIPUR,MANNA LAL RAWAT,Bharatiya Janata Party,732757,5529,738286,49.27,Won
5797,Sikkim,Sikkim,INDRA HANG SUBBA,Sikkim Krantikari Morcha,156836,7560,164396,42.71,Won
5812,Tamil Nadu,ARAKKONAM,S JAGATHRATCHAKAN,Dravida Munnetra Kazhagam,560578,2638,563216,48.39,Won
5839,Tamil Nadu,ARANI,THARANIVENTHAN M S,Dravida Munnetra Kazhagam,497083,3016,500099,43.86,Won
5869,Tamil Nadu,CHENNAI CENTRAL,DAYANIDHI MARAN,Dravida Munnetra Kazhagam,412286,1562,413848,56.65,Won
5901,Tamil Nadu,CHENNAI NORTH,DR.KALANIDHI VEERASWAMY,Dravida Munnetra Kazhagam,495733,1600,497333,55.11,Won
5937,Tamil Nadu,CHENNAI SOUTH,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,Dravida Munnetra Kazhagam,515307,1321,516628,47,Won
5979,Tamil Nadu,CHIDAMBARAM,THIRUMAAVALAVAN THOL,Viduthalai Chiruthaigal Katchi,501851,3233,505084,43.28,Won
5994,Tamil Nadu,COIMBATORE,GANAPATHY RAJKUMAR P,Dravida Munnetra Kazhagam,565428,2772,568200,41.39,Won
6032,Tamil Nadu,CUDDALORE,M.K. VISHNUPRASAD,Indian National Congress,450401,4652,455053,44.11,Won
6052,Tamil Nadu,DHARMAPURI,MANI. A.,Dravida Munnetra Kazhagam,429301,3366,432667,34.67,Won
6077,Tamil Nadu,DINDIGUL,SACHITHANANTHAM R,Communist Party of India  (Marxist),667391,2758,670149,58.29,Won
6093,Tamil Nadu,ERODE,K E PRAKASH,Dravida Munnetra Kazhagam,558849,3490,562339,51.43,Won
6125,Tamil Nadu,KALLAKURICHI,MALAIYARASAN D,Dravida Munnetra Kazhagam,558346,3243,561589,44.94,Won
6147,Tamil Nadu,KANCHEEPURAM,SELVAM. G,Dravida Munnetra Kazhagam,582978,3066,586044,46.53,Won
6159,Tamil Nadu,KANNIYAKUMARI,VIJAYAKUMAR (Alias) VIJAY VASANTH,Indian National Congress,540267,5981,546248,53.08,Won
6182,Tamil Nadu,KARUR,JOTHIMANI. S,Indian National Congress,531829,3077,534906,47.25,Won
6237,Tamil Nadu,KRISHNAGIRI,GOPINATH K,Indian National Congress,491131,1752,492883,42.27,Won
6265,Tamil Nadu,MADURAI,VENKATESAN S,Communist Party of India  (Marxist),428201,2122,430323,43.6,Won
6287,Tamil Nadu,MAYILADUTHURAI,SUDHA R,Indian National Congress,516534,1925,518459,47.67,Won
6305,Tamil Nadu,NAGAPATTINAM,SELVARAJ V,Communist Party of India,462759,2285,465044,47.79,Won
6315,Tamil Nadu,NAMAKKAL,MATHESWARAN V S,Dravida Munnetra Kazhagam,457695,4341,462036,40.31,Won
6356,Tamil Nadu,NILGIRIS,RAJA A,Dravida Munnetra Kazhagam,470729,2483,473212,46.44,Won
6373,Tamil Nadu,PERAMBALUR,ARUN NEHRU,Dravida Munnetra Kazhagam,598003,5206,603209,53.42,Won
6397,Tamil Nadu,POLLACHI,ESWARASAMY K,Dravida Munnetra Kazhagam,530742,2635,533377,47.37,Won
6413,Tamil Nadu,RAMANATHAPURAM,NAVASKANI K,Indian Union Muslim League,506690,2974,509664,45.92,Won
6439,Tamil Nadu,SALEM,SELVAGANAPATHI T M,Dravida Munnetra Kazhagam,562022,4063,566085,43.38,Won
6465,Tamil Nadu,SIVAGANGA,KARTI P CHIDAMBARAM,Indian National Congress,425631,2046,427677,40.6,Won
6486,Tamil Nadu,SRIPERUMBUDUR,T R BAALU,Dravida Munnetra Kazhagam,755671,2940,758611,52.65,Won
6518,Tamil Nadu,TENKASI,DR RANI SRI KUMAR,Dravida Munnetra Kazhagam,423025,2654,425679,40.97,Won
6534,Tamil Nadu,THANJAVUR,MURASOLI S,Dravida Munnetra Kazhagam,498822,3423,502245,48.82,Won
6547,Tamil Nadu,THENI,THANGA TAMILSELVAN,Dravida Munnetra Kazhagam,569110,2383,571493,50.08,Won
6573,Tamil Nadu,THOOTHUKKUDI,KANIMOZHI KARUNANIDHI,Dravida Munnetra Kazhagam,537879,2850,540729,55.26,Won
6602,Tamil Nadu,TIRUCHIRAPPALLI,DURAI VAIKO,Marumalarchi Dravida Munnetra Kazhagam,538877,3336,542213,51.35,Won
6638,Tamil Nadu,TIRUNELVELI,ROBERT BRUCE C,Indian National Congress,499493,2803,502296,47.06,Won
6662,Tamil Nadu,TIRUPPUR,"SUBBARAYAN, K.",Communist Party of India,470195,2544,472739,41.38,Won
6676,Tamil Nadu,TIRUVALLUR,Sasikanth Senthil,Indian National Congress,794608,2348,796956,56.21,Won
6691,Tamil Nadu,TIRUVANNAMALAI,"ANNADURAI, C.N.",Dravida Munnetra Kazhagam,543857,3522,547379,47.75,Won
6723,Tamil Nadu,VELLORE,DM KATHIR ANAND,Dravida Munnetra Kazhagam,566435,2257,568692,50.35,Won
6755,Tamil Nadu,VILUPPURAM,RAVIKUMAR. D,Viduthalai Chiruthaigal Katchi,474230,2803,477033,41.39,Won
6773,Tamil Nadu,VIRUDHUNAGAR,MANICKAM TAGORE B,Indian National Congress,382876,2380,385256,36.28,Won
6801,Telangana,Adilabad,GODAM NAGESH,Bharatiya Janata Party,558936,9232,568168,45.98,Won
6814,Telangana,Bhongir,CHAMALA KIRAN KUMAR REDDY,Indian National Congress,623762,5381,629143,44.89,Won
6854,Telangana,Chevella,KONDA VISHWESHWAR REDDY,Bharatiya Janata Party,798517,11365,809882,48.34,Won
6898,Telangana,Hyderabad,ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen,659278,2703,661981,61.28,Won
6929,Telangana,Karimnagar,BANDI SANJAY KUMAR,Bharatiya Janata Party,578827,6289,585116,44.57,Won
6958,Telangana,Khammam,RAMASAHAYAM RAGHURAM REDDY,Indian National Congress,759603,7326,766929,61.29,Won
6994,Telangana,Mahabubabad,BALRAM NAIK PORIKA,Indian National Congress,608505,4269,612774,55.27,Won
7018,Telangana,Mahbubnagar,ARUNA. D. K,Bharatiya Janata Party,506747,4000,510747,41.66,Won
7050,Telangana,Malkajgiri,EATALA RAJENDER,Bharatiya Janata Party,980712,10330,991042,51.25,Won
7073,Telangana,Medak,MADHAVANENI RAGHUNANDAN RAO,Bharatiya Janata Party,463777,7440,471217,33.99,Won
7118,Telangana,Nagarkurnool,DR.MALLU RAVI,Indian National Congress,459259,5813,465072,38.14,Won
7138,Telangana,Nalgonda,KUNDURU RAGHUVEER,Indian National Congress,772264,12073,784337,60.5,Won
7161,Telangana,Nizamabad,ARVIND DHARMAPURI,Bharatiya Janata Party,588244,4074,592318,48.02,Won
7191,Telangana,Peddapalle,VAMSI KRISHNA GADDAM,Indian National Congress,470180,5407,475587,43.42,Won
7234,Telangana,Secunderabad,G. KISHAN REDDY,Bharatiya Janata Party,468311,4701,473012,45.15,Won
7280,Telangana,Warangal,KADIYAM KAVYA,Indian National Congress,575566,5728,581294,45.85,Won
7323,Telangana,Zahirabad,SURESH KUMAR SHETKAR,Indian National Congress,523919,4499,528418,42.73,Won
7343,Tripura,Tripura East,KRITI DEVI DEBBARMAN,Bharatiya Janata Party,768129,9318,777447,68.54,Won
7353,Tripura,Tripura West,BIPLAB KUMAR DEB,Bharatiya Janata Party,868484,12857,881341,72.85,Won
7363,Uttar Pradesh,Agra,PROF S P SINGH BAGHEL,Bharatiya Janata Party,597061,2336,599397,53.34,Won
7375,Uttar Pradesh,Akbarpur,DEVENDRA SINGH ALIAS BHOLE SINGH,Bharatiya Janata Party,514256,3167,517423,47.6,Won
7385,Uttar Pradesh,Aligarh,SATISH KUMAR GAUTAM,Bharatiya Janata Party,500453,1381,501834,44.28,Won
7400,Uttar Pradesh,Allahabad,UJJWAL RAMAN SINGH,Indian National Congress,461100,1045,462145,48.8,Won
7415,Uttar Pradesh,Ambedkar Nagar,LALJI VERMA,Samajwadi Party,543721,1238,544959,46.3,Won
7424,Uttar Pradesh,Amethi,KISHORI LAL,Indian National Congress,536680,2548,539228,54.99,Won
7438,Uttar Pradesh,Amroha,KANWAR SINGH TANWAR,Bharatiya Janata Party,475210,1296,476506,42.9,Won
7451,Uttar Pradesh,Aonla,NEERAJ MAURYA,Samajwadi Party,491119,1396,492515,45.23,Won
7461,Uttar Pradesh,Azamgarh,DHARMENDRA YADAV,Samajwadi Party,504837,3402,508239,48.2,Won
7471,Uttar Pradesh,Badaun,ADITYA YADAV,Samajwadi Party,501390,465,501855,45.97,Won
7483,Uttar Pradesh,Baghpat,DR RAJKUMAR SANGWAN,Rashtriya Lok Dal,485765,3202,488967,52.36,Won
7491,Uttar Pradesh,Baharaich,ANAND KUMAR,Bharatiya Janata Party,518575,227,518802,49.1,Won
7502,Uttar Pradesh,Ballia,SANATAN PANDEY,Samajwadi Party,464473,2595,467068,46.37,Won
7516,Uttar Pradesh,Banda,KRISHNA DEVI SHIVSHANKER PATEL,Samajwadi Party,406018,549,406567,38.94,Won
7529,Uttar Pradesh,Bansgaon,KAMLESH PASWAN,Bharatiya Janata Party,427528,1165,428693,45.38,Won
7538,Uttar Pradesh,Barabanki,TANUJ PUNIA,Indian National Congress,718528,1399,719927,55.78,Won
7552,Uttar Pradesh,Bareilly,CHHATRA PAL SINGH GANGWAR,Bharatiya Janata Party,565600,1527,567127,50.66,Won
7566,Uttar Pradesh,Basti,RAM PRASAD CHAUDHARY,Samajwadi Party,523487,3518,527005,48.67,Won
7576,Uttar Pradesh,Bhadohi,DR. VINOD KUMAR BIND,Bharatiya Janata Party,458877,1105,459982,42.39,Won
7587,Uttar Pradesh,Bijnor,CHANDAN CHAUHAN,Rashtriya Lok Dal,402604,1889,404493,39.48,Won
7599,Uttar Pradesh,Bulandshahr,DR BHOLA SINGH,Bharatiya Janata Party,594040,3270,597310,56.65,Won
7606,Uttar Pradesh,Chandauli,BIRENDRA SINGH,Samajwadi Party,472928,1548,474476,42.5,Won
7617,Uttar Pradesh,Deoria,SHASHANK MANI,Bharatiya Janata Party,503509,1032,504541,48.36,Won
7625,Uttar Pradesh,Dhaurahra,ANAND BHADAURIYA,Samajwadi Party,442650,1093,443743,39.91,Won
7638,Uttar Pradesh,Domariyaganj,JAGDAMBIKA PAL,Bharatiya Janata Party,462614,689,463303,45.47,Won
7645,Uttar Pradesh,Etah,DEVESH SHAKYA,Samajwadi Party,474263,1545,475808,47.09,Won
7656,Uttar Pradesh,Etawah,JITENDRA KUMAR DOHARE,Samajwadi Party,489358,1389,490747,47.47,Won
7664,Uttar Pradesh,Faizabad,AWADHESH PRASAD,Samajwadi Party,553549,740,554289,48.59,Won
7678,Uttar Pradesh,Farrukhabad,MUKESH RAJPUT,Bharatiya Janata Party,486925,1038,487963,47.2,Won
7687,Uttar Pradesh,Fatehpur,NARESH CHANDRA UTTAM PATEL,Samajwadi Party,499866,462,500328,45.2,Won
7703,Uttar Pradesh,Fatehpur Sikri,RAJKUMAR CHAHAR,Bharatiya Janata Party,442862,2795,445657,43.09,Won
7713,Uttar Pradesh,Firozabad,AKSHAYA YADAV,Samajwadi Party,541861,1176,543037,49.04,Won
7721,Uttar Pradesh,Gautam Buddha Nagar,DR. MAHESH SHARMA,Bharatiya Janata Party,855413,2416,857829,59.69,Won
7737,Uttar Pradesh,Ghaziabad,ATUL GARG,Bharatiya Janata Party,853036,1134,854170,58.09,Won
7752,Uttar Pradesh,Ghazipur,AFZAL ANSARI,Samajwadi Party,537784,2128,539912,46.82,Won
7763,Uttar Pradesh,Ghosi,RAJEEV RAI,Samajwadi Party,501407,1724,503131,43.73,Won
7792,Uttar Pradesh,Gonda,KIRTIVARDHAN SINGH,Bharatiya Janata Party,473691,567,474258,49.77,Won
7801,Uttar Pradesh,Gorakhpur,RAVINDRA SHUKLA ALIAS RAVI KISHAN,Bharatiya Janata Party,584512,1322,585834,50.75,Won
7815,Uttar Pradesh,Hamirpur,AJENDRA SINGH LODHI,Samajwadi Party,490003,680,490683,44,Won
7827,Uttar Pradesh,Hardoi,JAI PRAKASH,Bharatiya Janata Party,485745,1053,486798,44.25,Won
7840,Uttar Pradesh,Hathras,ANOOP PRADHAN BALMIKI,Bharatiya Janata Party,552334,2412,554746,51.24,Won
7851,Uttar Pradesh,Jalaun,NARAYAN DAS AHIRWAR,Samajwadi Party,529444,736,530180,46.96,Won
7858,Uttar Pradesh,Jaunpur,BABU SINGH KUSHWAHA,Samajwadi Party,506076,3054,509130,46.21,Won
7873,Uttar Pradesh,Jhansi,ANURAG SHARMA,Bharatiya Janata Party,689438,878,690316,50,Won
7884,Uttar Pradesh,Kairana,IQRA CHOUDHARY,Samajwadi Party,526887,1126,528013,48.9,Won
7899,Uttar Pradesh,Kaiserganj,KARAN BHUSHAN SINGH,Bharatiya Janata Party,570436,827,571263,53.79,Won
7904,Uttar Pradesh,Kannauj,AKHILESH YADAV,Samajwadi Party,640207,2085,642292,52.74,Won
7920,Uttar Pradesh,Kanpur,RAMESH AWASTHI,Bharatiya Janata Party,440609,2446,443055,49.93,Won
7932,Uttar Pradesh,Kaushambi,PUSHPENDRA SAROJ,Samajwadi Party,509175,612,509787,50.51,Won
7943,Uttar Pradesh,Kheri,UTKARSH VERMA  'MADHUR',Samajwadi Party,555277,2088,557365,45.94,Won
7955,Uttar Pradesh,Kushi Nagar,VIJAY KUMAR DUBAY,Bharatiya Janata Party,516006,339,516345,47.79,Won
7965,Uttar Pradesh,Lalganj,DAROGA PRASAD SAROJ,Samajwadi Party,437567,2392,439959,43.85,Won
7973,Uttar Pradesh,Lucknow,RAJ NATH SINGH,Bharatiya Janata Party,610597,2112,612709,53.89,Won
7984,Uttar Pradesh,Machhlishahr,PRIYA SAROJ,Samajwadi Party,449561,1731,451292,42.57,Won
7997,Uttar Pradesh,Maharajganj,PANKAJ CHAUDHARY,Bharatiya Janata Party,590487,823,591310,48.85,Won
8006,Uttar Pradesh,Mainpuri,DIMPLE YADAV,Samajwadi Party,596710,1816,598526,56.79,Won
8015,Uttar Pradesh,Mathura,HEMAMALINI DHARMENDRA DEOL,Bharatiya Janata Party,507535,2529,510064,53.3,Won
8031,Uttar Pradesh,Meerut,ARUN GOVIL,Bharatiya Janata Party,544375,2094,546469,46.21,Won
8040,Uttar Pradesh,Mirzapur,ANUPRIYA PATEL,Apna Dal (Soneylal),470866,765,471631,42.67,Won
8051,Uttar Pradesh,Misrikh,ASHOK KUMAR RAWAT,Bharatiya Janata Party,473971,1045,475016,45.15,Won
8061,Uttar Pradesh,Mohanlalganj,R.K. CHAUDHARY,Samajwadi Party,666560,1309,667869,48.49,Won
