_id,SL No,Year,Month,State Name,Constituency Name,Candidate Name,Sex,Party,Constituency Type,Total Electors,Valid Votes,Candidate Votes,Turnout %,Candidate Vote Share %,Winning Margin %
336,336,2019,4,Rajasthan,JHUNJHUNU,NARENDRA KUMAR,M,BJP,GEN,1908887,1198927,738163,62.81,61.57,25.23
337,337,2019,4,Rajasthan,SIKAR,SUMEDHANAND SARASWATI,M,BJP,GEN,2024830,1326969,772104,65.53,58.19,22.39
338,338,2019,4,Rajasthan,JAIPUR RURAL,COL. RAJYAVARDHAN RATHORE,M,BJP,GEN,1943486,1276693,820132,65.69,64.24,30.8
339,339,2019,4,Rajasthan,JAIPUR,RAMCHARAN BOHRA,M,BJP,GEN,2125718,1456404,924065,68.51,63.45,29.57
340,340,2019,4,Rajasthan,ALWAR,BALAK NATH,M,BJP,GEN,1873618,1265674,760201,67.55,60.06,26.07
341,341,2019,4,Rajasthan,BHARATPUR,RANJEETA KOLI,F,BJP,SC,1934176,1146797,707992,59.29,61.74,27.76
342,342,2019,4,Rajasthan,KARAULI-DHOLPUR,MANOJ RAJORIA,M,BJP,SC,1805657,998044,526443,55.27,52.75,9.79
343,343,2019,4,Rajasthan,DAUSA,JASKAUR MEENA,F,BJP,ST,1726376,1062834,548733,61.56,51.63,7.38
344,344,2019,4,Rajasthan,TONK-SAWAI MADHOPUR,SUKHBIR SINGH JAUNAPURIA,M,BJP,GEN,1943668,1233458,644319,63.46,52.24,9.02
345,345,2019,4,Rajasthan,AJMER,BHAGIRATH CHAUDHARY,M,BJP,GEN,1872816,1262214,815076,67.4,64.58,32.99
346,346,2019,4,Rajasthan,NAGAUR,HANUMAN BENIWAL,M,RLP,GEN,1924567,1203124,660051,62.51,54.86,15.07
347,347,2019,4,Rajasthan,PALI,P. P. CHAUDHARY,M,BJP,GEN,2156774,1359799,900149,63.05,66.2,35.42
348,348,2019,4,Rajasthan,JODHPUR,GAJENDRA SINGH SHEKHAWAT,M,BJP,GEN,1951393,1346243,788888,68.99,58.6,20.39
349,349,2019,4,Rajasthan,BARMER,KAILASH CHOUDHARY,M,BJP,GEN,1939019,1422271,846526,73.35,59.52,22.77
350,350,2019,4,Rajasthan,JALORE,DEVAJI PATEL,M,BJP,GEN,2070899,1361619,772833,65.75,56.76,19.18
351,351,2019,4,Rajasthan,UDAIPUR,ARJUNLAL MEENA,M,BJP,ST,2069298,1454518,871548,70.29,59.92,30.11
352,352,2019,4,Rajasthan,BANSWARA,KANAKMAL KATARA,M,BJP,ST,1975198,1439671,711709,72.89,49.44,21.22
353,353,2019,4,Rajasthan,CHITTORGARH,CHANDRA PRAKASH JOSHI,M,BJP,GEN,2015401,1458760,982942,72.38,67.38,39.5
354,354,2019,4,Rajasthan,RAJSAMAND,DIYA KUMARI,F,BJP,GEN,1909341,1239845,863039,64.94,69.61,44.51
355,355,2019,4,Rajasthan,BHILWARA,SUBHASH CHANDRA BAHERIA,M,BJP,GEN,1995863,1310513,938160,65.66,71.59,46.7
356,356,2019,4,Rajasthan,KOTA,OM BIRLA,M,BJP,GEN,1947245,1367034,800051,70.2,58.52,20.46
357,357,2019,4,Rajasthan,JHALAWAR-BARAN,DUSHYANT SINGH,M,BJP,GEN,1903463,1369868,887400,71.97,64.78,33.14
358,358,2019,4,Sikkim,SIKKIM,INDRA HANG SUBBA,M,SKM,GEN,432306,351746,166922,81.37,47.46,3.53
359,359,2019,4,Tamil Nadu,THIRUVALLUR,DR.K.JAYAKUMAR,M,INC,SC,1946242,1408189,767292,72.35,54.49,25.35
360,360,2019,4,Tamil Nadu,CHENNAI NORTH,DR. KALANIDHI VEERASWAMY,M,DMK,GEN,1487461,955545,590986,64.24,61.85,48.3
361,361,2019,4,Tamil Nadu,CHENNAI SOUTH,T.SUMATHY (A) THAMIZHACHI THANGAPANDIAN,F,DMK,GEN,1973315,1125857,564872,57.05,50.17,23.29
362,362,2019,4,Tamil Nadu,CHENNAI CENTRAL,DAYANIDHI MARAN,M,DMK,GEN,1332135,785450,448911,58.96,57.15,38.39
363,363,2019,4,Tamil Nadu,SRIPERUMBUDUR,BAALU.T.R.,M,DMK,GEN,2253041,1406782,793281,62.44,56.39,36.11
364,364,2019,4,Tamil Nadu,KANCHEEPURAM,SELVAM.G,M,DMK,SC,1643656,1237612,684004,75.3,55.27,23.16
365,365,2019,4,Tamil Nadu,ARAKKONAM,S. JAGATHRAKSHAKAN,M,DMK,GEN,1494929,1178060,672190,78.8,57.06,27.92
366,366,2019,4,Tamil Nadu,KRISHNAGIRI,DR.A.CHELLAKUMAR,M,INC,GEN,1526348,1161369,611298,76.09,52.64,13.5
367,367,2019,4,Tamil Nadu,DHARMAPURI,DNV SENTHILKUMAR. S.,M,DMK,GEN,1484027,1223205,574988,82.42,47.01,5.78
368,368,2019,4,Tamil Nadu,TIRUVANNAMALAI,ANNADURAI C N,M,DMK,GEN,1470203,1151729,666272,78.34,57.85,26.41
369,369,2019,4,Tamil Nadu,ARANI,VISHNU PRASAD M K,M,INC,GEN,1445781,1143907,617760,79.12,54,20.18
370,370,2019,4,Tamil Nadu,VILUPPURAM,RAVIKUMAR D,M,DMK,SC,1443436,1135540,559585,78.67,49.28,11.28
371,371,2019,4,Tamil Nadu,KALLAKURICHI,GAUTHAM SIGAMANI PON,M,DMK,GEN,1528539,1204375,721713,78.79,59.92,33.21
372,372,2019,4,Tamil Nadu,SALEM,PARTHIBAN.S.R,M,DMK,GEN,1611982,1255459,606302,77.88,48.29,11.7
373,373,2019,4,Tamil Nadu,NAMAKKAL,CHINRAJ A.K.P,M,DMK,GEN,1413246,1133774,626293,80.22,55.24,23.39
374,374,2019,4,Tamil Nadu,ERODE,GANESHAMURTHI A,M,DMK,GEN,1462076,1067863,563591,73.04,52.78,19.72
375,375,2019,4,Tamil Nadu,TIRUPPUR,"SUBBARAYAN, K.",M,CPI,GEN,1529836,1119584,508725,73.18,45.44,8.34
