_id,SL No,Year,Month,State Name,Constituency Name,Candidate Name,Sex,Party,Constituency Type,Total Electors,Valid Votes,Candidate Votes,Turnout %,Candidate Vote Share %,Winning Margin %
447,447,2019,4,Uttar Pradesh,MISRIKH,ASHOK KUMAR RAWAT,M,BJP,SC,1779700,1026668,534429,57.69,52.05,9.81
448,448,2019,4,Uttar Pradesh,UNNAO,SWAMI SAKSHI JI MAHARAJ,M,BJP,GEN,2177079,1237076,703507,56.82,56.87,32.41
449,449,2019,4,Uttar Pradesh,MOHANLALGANJ,KAUSHAL KISHORE,M,BJP,SC,1956358,1269040,629748,64.87,49.62,7.11
450,450,2019,4,Uttar Pradesh,LUCKNOW,RAJNATH SINGH,M,BJP,GEN,1958847,1116445,633026,57,56.7,31.11
451,451,2019,4,Uttar Pradesh,RAE BARELI,SONIA GANDHI,F,INC,GEN,1650806,958556,534918,58.07,55.8,17.44
452,452,2019,4,Uttar Pradesh,AMETHI,SMRITI IRANI,F,BJP,GEN,1718401,942453,468514,54.84,49.71,5.85
453,453,2019,4,Uttar Pradesh,SULTANPUR,MANEKA SANJAI GANDHI,F,BJP,GEN,1757047,1000316,459196,56.93,45.91,1.45
454,454,2019,4,Uttar Pradesh,PRATAPGARH,SANGAM LAL GUPTA,M,BJP,GEN,1692170,914665,436291,54.05,47.7,12.87
455,455,2019,4,Uttar Pradesh,FARRUKHABAD,MUKESH RAJPUT,M,BJP,GEN,1688871,1002953,569880,59.39,56.82,22.1
456,456,2019,4,Uttar Pradesh,ETAWAH,DR RAM SHANKAR KATHERIA,M,BJP,SC,1739462,1027815,522119,59.09,50.8,6.27
457,457,2019,4,Uttar Pradesh,KANNAUJ,SUBRAT PATHAK,M,BJP,GEN,1855121,1140496,563087,61.48,49.37,1.08
458,458,2019,4,Uttar Pradesh,KANPUR,SATYADEV PACHAURI,M,BJP,GEN,1597591,842994,468937,52.77,55.63,18.5
459,459,2019,4,Uttar Pradesh,AKBARPUR,DEVENDRA SINGH 'BHOLE',M,BJP,GEN,1730947,1025314,581282,59.23,56.69,26.83
460,460,2019,4,Uttar Pradesh,JALAUN,BHANU PRATAP SINGH VERMA,M,BJP,SC,1917700,1129955,581763,58.92,51.49,14.02
461,461,2019,4,Uttar Pradesh,JHANSI,ANURAG SHARMA,M,BJP,GEN,2015365,1380890,809272,68.52,58.61,26.48
462,462,2019,4,Uttar Pradesh,HAMIRPUR,KUNWAR PUSHPENDRA SINGH CHANDEL,M,BJP,GEN,1738107,1089778,575122,62.7,52.77,22.82
463,463,2019,4,Uttar Pradesh,BANDA,R.K. SINGH PATEL,M,BJP,GEN,1682151,1034549,477926,61.5,46.2,5.7
464,464,2019,4,Uttar Pradesh,FATEHPUR,NIRANJAN JYOTI,F,BJP,GEN,1820435,1043655,566040,57.33,54.24,18.99
465,465,2019,4,Uttar Pradesh,KAUSHAMBI,VINOD KUMAR SONKAR,M,BJP,SC,1765023,993394,383009,56.28,38.56,3.9
466,466,2019,4,Uttar Pradesh,PHULPUR,KESHARI DEVI PATEL,F,BJP,GEN,1975219,978236,544701,49.53,55.68,17.58
467,467,2019,4,Uttar Pradesh,ALLAHABAD,RITA BAHUGUNA JOSHI,F,BJP,GEN,1693447,889056,494454,52.5,55.62,20.73
468,468,2019,4,Uttar Pradesh,BARABANKI,UPENDRA SINGH RAWAT,M,BJP,SC,1804985,1155341,535917,64.01,46.39,9.53
469,469,2019,4,Uttar Pradesh,FAIZABAD,LALLU SINGH,M,BJP,GEN,1804729,1087121,529021,60.24,48.66,6.02
470,470,2019,4,Uttar Pradesh,AMBEDKAR NAGAR,RITESH PANDEY,M,BSP,GEN,1769675,1090152,564118,61.6,51.75,8.8
471,471,2019,4,Uttar Pradesh,BAHRAICH,AKSHAIBAR LAL,M,BJP,SC,1713390,989848,525982,57.77,53.14,13.01
472,472,2019,4,Uttar Pradesh,KAISERGANJ,BRIJBHUSAN SHARAN SINGH,M,BJP,GEN,1791950,981400,581358,54.77,59.24,26.66
473,473,2019,4,Uttar Pradesh,SHRAWASTI,RAM SHIROMANI,M,BSP,GEN,1900093,997007,441771,52.47,44.31,0.53
474,474,2019,4,Uttar Pradesh,GONDA,KIRTI VARDHAN SINGH ALIAS RAJA BHAIYA,M,BJP,GEN,1754478,923816,508190,52.65,55.01,18.01
475,475,2019,4,Uttar Pradesh,DOMARIYAGANJ,JAGDAMBIKA PAL,M,BJP,GEN,1865469,985269,492253,52.82,49.96,10.69
476,476,2019,4,Uttar Pradesh,BASTI,HARISH CHANDRA ALIAS HARISH DWIVEDI,M,BJP,GEN,1831666,1054539,471162,57.57,44.68,2.88
477,477,2019,4,Uttar Pradesh,SANT KABIR NAGAR,PRAVEEN KUMAR NISHAD,M,BJP,GEN,1939708,1063390,467543,54.82,43.97,3.36
478,478,2019,4,Uttar Pradesh,MAHARAJGANJ,PANKAJ CHOUDHARY,M,BJP,GEN,1857606,1226916,726349,66.05,59.2,27.75
479,479,2019,4,Uttar Pradesh,GORAKHPUR,RAVINDRA SHYAMNARAYAN SHUKLA ALIAS RAVI KISHAN,M,BJP,GEN,1954081,1184635,717122,60.62,60.54,25.46
480,480,2019,4,Uttar Pradesh,KUSHI NAGAR,VIJAY KUMAR DUBEY,M,BJP,GEN,1736750,1053117,597039,60.64,56.69,32.05
481,481,2019,4,Uttar Pradesh,DEORIA,RAMAPATI RAM TRIPATHI,M,BJP,GEN,1729583,1015363,580644,58.71,57.19,24.61
482,482,2019,4,Uttar Pradesh,BANSGAON,KAMLESH PASWAN,M,BJP,SC,1727798,969136,546673,56.09,56.41,15.84
483,483,2019,4,Uttar Pradesh,LALGANJ,SANGEETA AZAD,F,BSP,SC,1726680,960568,518820,55.63,54.01,16.82
484,484,2019,4,Uttar Pradesh,AZAMGARH,AKHILESH YADAV,M,SP,GEN,1770637,1029112,621578,58.12,60.4,25.25
485,485,2019,4,Uttar Pradesh,GHOSI,ATUL KUMAR SINGH,M,BSP,GEN,1954114,1140781,573829,58.38,50.3,10.74
486,486,2019,4,Uttar Pradesh,SALEMPUR,RAVINDER,M,BJP,GEN,1634333,921066,467241,56.36,50.73,12.21
487,487,2019,4,Uttar Pradesh,BALLIA,VIRENDRA SINGH,M,BJP,GEN,1792420,989732,469114,55.22,47.4,1.57
488,488,2019,4,Uttar Pradesh,JAUNPUR,SHYAM SINGH YADAV,M,BSP,GEN,1774986,1040652,521128,58.63,50.08,7.78
489,489,2019,4,Uttar Pradesh,MACHHLISHAHR,BHOLANATH (B.P. SAROJ),M,BJP,SC,1789566,1034925,488397,57.83,47.19,0.02
490,490,2019,4,Uttar Pradesh,GHAZIPUR,AFZAL ANSARI,M,BSP,GEN,1851875,1105627,566082,59.7,51.2,10.8
491,491,2019,4,Uttar Pradesh,CHANDAULI,DR. MAHENDRA NATH PANDEY,M,BJP,GEN,1719383,1084961,510733,63.1,47.07,1.29
492,492,2019,4,Uttar Pradesh,VARANASI,NARENDRA MODI,M,BJP,GEN,1796930,1060476,674664,59.02,63.62,45.22
493,493,2019,4,Uttar Pradesh,BHADOHI,RAMESH CHAND,M,BJP,GEN,1913592,1039390,510029,54.32,49.07,4.2
494,494,2019,4,Uttar Pradesh,MIRZAPUR,ANUPRIYA SINGH PATEL,F,ADS,GEN,1823860,1108965,591564,60.8,53.34,20.92
495,495,2019,4,Uttar Pradesh,ROBERTSGANJ,PAKAURI LAL KOL,M,ADS,SC,1692608,988287,447914,58.39,45.32,5.5
496,496,2019,4,Uttarakhand,TEHRI GARHWAL,MALA RAJYA LAXMI SHAH,F,BJP,GEN,1481214,876069,565333,59.15,64.53,34.31
497,497,2019,4,Uttarakhand,GARHWAL,TIRATH SINGH RAWAT,M,BJP,GEN,1321350,742784,506980,56.21,68.25,40.75
498,498,2019,4,Uttarakhand,ALMORA,AJAY TAMTA,M,BJP,SC,1309090,694472,444651,53.05,64.03,33.55
499,499,2019,4,Uttarakhand,NAINITAL-UDHAMSINGH NAGAR,AJAY BHATT,M,BJP,GEN,1818271,1258570,772195,69.22,61.35,26.94
500,500,2019,4,Uttarakhand,HARDWAR,RAMESH POKHRIYAL 'NISHANK',M,BJP,GEN,1835535,1271030,665674,69.25,52.37,20.36
501,501,2019,4,West Bengal,COOCH BEHAR,NISITH PRAMANIK,M,BJP,SC,1809598,1524683,731594,84.26,47.98,3.56
502,502,2019,4,West Bengal,ALIPURDUARS,JOHN BARLA,M,BJP,ST,1642285,1380217,750804,84.04,54.4,17.68
503,503,2019,4,West Bengal,JALPAIGURI,DR. JAYANTA KUMAR ROY,M,BJP,SC,1729829,1500922,760145,86.77,50.65,12.26
504,504,2019,4,West Bengal,DARJEELING,RAJU BISTA,M,BJP,GEN,1598863,1267270,750067,79.26,59.19,32.62
505,505,2019,4,West Bengal,RAIGANJ,DEBASREE CHAUDHURI,F,BJP,GEN,1595668,1277109,511652,80.04,40.06,4.74
506,506,2019,4,West Bengal,BALURGHAT,SUKANTA MAJUMDAR,M,BJP,GEN,1427567,1197849,539317,83.91,45.02,2.78
507,507,2019,4,West Bengal,MALDAHA UTTAR,KHAGEN MURMU,M,BJP,GEN,1681782,1354706,509524,80.55,37.61,6.22
508,508,2019,4,West Bengal,MALDAHA DAKSHIN,ABU HASEM KHAN CHOWDHURY (DALU),M,INC,GEN,1572125,1279202,444270,81.37,34.73,0.64
509,509,2019,4,West Bengal,JANGIPUR,KHALILUR RAHAMAN,M,AITC,GEN,1612775,1304504,562838,80.89,43.15,18.84
510,510,2019,4,West Bengal,BAHARAMPUR,ADHIR RANJAN CHOWDHURY,M,INC,GEN,1630510,1299997,591106,79.73,45.47,6.21
511,511,2019,4,West Bengal,MURSHIDABAD,ABU TAHER KHAN,M,AITC,GEN,1721932,1453755,604346,84.43,41.57,15.57
512,512,2019,4,West Bengal,KRISHNANAGAR,MAHUA MOITRA,F,AITC,GEN,1622495,1366443,614872,84.22,45,4.63
513,513,2019,4,West Bengal,RANAGHAT,JAGANNATH SARKAR,M,BJP,SC,1753812,1484035,783253,84.62,52.78,15.73
514,514,2019,4,West Bengal,BANGAON,SHANTANU THAKUR,M,BJP,SC,1697146,1407758,687622,82.95,48.85,7.93
515,515,2019,4,West Bengal,BARRACKPORE,ARJUN SINGH,M,BJP,GEN,1428897,1104517,472994,77.3,42.82,1.35
516,516,2019,4,West Bengal,DUM DUM,SOUGATA RAY,M,AITC,GEN,1556725,1204660,512062,77.38,42.51,4.4
517,517,2019,4,West Bengal,BARASAT,DR. KAKOLI GHOSHDASTIDAR,F,AITC,GEN,1710683,1394766,648084,81.53,46.47,7.89
518,518,2019,4,West Bengal,BASIRHAT,NUSRAT JAHAN RUHI,F,AITC,GEN,1675500,1433339,782078,85.55,54.56,24.44
519,519,2019,4,West Bengal,JOYNAGAR,PRATIMA MONDAL,F,AITC,SC,1645203,1356102,761202,82.43,56.13,23.36
520,520,2019,4,West Bengal,MATHURAPUR,CHOUDHURY MOHAN JATUA,M,AITC,SC,1649953,1401953,726828,84.97,51.84,14.55
521,521,2019,4,West Bengal,DIAMOND HARBOUR,ABHISHEK BANERJEE,M,AITC,GEN,1712612,1407987,790725,82.21,56.16,22.78
522,522,2019,4,West Bengal,JADAVPUR,MIMI CHAKRABORTY,F,AITC,GEN,1802234,1436894,688472,79.73,47.91,20.55
523,523,2019,4,West Bengal,KOLKATA DAKSHIN,MALA ROY,F,AITC,GEN,1719821,1206645,573119,70.16,47.5,12.86
524,524,2019,4,West Bengal,KOLKATA UTTAR,BANDYOPADHYAY SUDIP,M,AITC,GEN,1437912,950613,474891,66.11,49.96,13.37
525,525,2019,4,West Bengal,HOWRAH,PRASUN BANERJEE,M,AITC,GEN,1629133,1222293,576711,75.03,47.18,8.48
526,526,2019,4,West Bengal,ULUBERIA,SAJDA AHMED,F,AITC,GEN,1612276,1311099,694945,81.32,53,16.43
527,527,2019,4,West Bengal,SRERAMPUR,KALYAN BANERJEE,M,AITC,GEN,1780168,1401705,637707,78.74,45.5,7.03
528,528,2019,4,West Bengal,HOOGHLY,LOCKET CHATTERJEE,F,BJP,GEN,1762927,1457842,671448,82.69,46.06,5.03
529,529,2019,4,West Bengal,ARAMBAGH,APARUPA PODDAR (AFRIN ALI),F,AITC,SC,1761597,1471981,649929,83.56,44.15,0.08
530,530,2019,4,West Bengal,TAMLUK,ADHIKARI DIBYENDU,M,AITC,GEN,1690911,1446499,724433,85.55,50.08,13.15
531,531,2019,4,West Bengal,KANTHI,ADHIKARI SISIR,M,AITC,GEN,1655438,1424247,711872,86.03,49.98,7.84
532,532,2019,4,West Bengal,GHATAL,ADHIKARI DEEPAK (DEV),M,AITC,GEN,1796587,1488818,717959,82.87,48.22,7.25
533,533,2019,4,West Bengal,JHARGRAM,KUNAR HEMBRAM,M,BJP,ST,1637796,1406214,626583,85.86,44.56,0.84
534,534,2019,4,West Bengal,MEDINIPUR,DILIP GHOSH,M,BJP,GEN,1670180,1409815,685433,84.41,48.62,6.31
535,535,2019,4,West Bengal,PURULIA,JYOTIRMAY SINGH MAHATO,M,BJP,GEN,1641342,1355236,668107,82.57,49.3,15.11
536,536,2019,4,West Bengal,BANKURA,DR. SUBHAS SARKAR,M,BJP,GEN,1642594,1371855,675319,83.52,49.23,12.71
537,537,2019,4,West Bengal,BISHNUPUR,KHAN SAUMITRA,M,BJP,SC,1622116,1420648,657019,87.58,46.25,5.49
538,538,2019,4,West Bengal,BARDHAMAN PURBA,SUNIL KUMAR MONDAL,M,AITC,SC,1693148,1439286,640834,85.01,44.52,6.21
539,539,2019,4,West Bengal,BURDWAN - DURGAPUR,S.S AHLUWALIA,M,BJP,GEN,1726670,1433007,598376,82.99,41.76,0.17
540,540,2019,4,West Bengal,ASANSOL,BABUL SUPRIYO,M,BJP,GEN,1607206,1238135,633378,77.04,51.16,15.96
541,541,2019,4,West Bengal,BOLPUR,ASIT KUMAR MAL,M,AITC,SC,1700030,1461269,699171,85.96,47.85,7.28
542,542,2019,4,West Bengal,BIRBHUM,SATABDI ROY,F,AITC,GEN,1694822,1449423,654077,85.52,45.13,6.14
